标题,价格,价格区间,品牌,笔记本类型,省份,城市,销量,店铺
门店同售Apple MacBook Pro 16 英寸笔记本电脑 M3 Pro 芯片配备 12 核中央处理器和 18 核图形处理器,18899.0,10000-20000元,苹果,其他类型,北京,未知,31.0,天猫校园教育官方旗舰店
ThinkPad T 440P联想笔记本电脑T530L570商务T450L540T420ST430S,599.0,3000元以下,联想,其他类型,广东,广州,48.0,铭兴数码二手笔记本电脑
UIG官方旗舰店2024热销英特尔酷睿i7笔记本电脑双屏办公便携高配置触摸屏手提电脑商务办公学习大学生,2299.0,3000元以下,其他品牌,其他类型,广东,深圳,100.0,UIG旗舰店
华硕灵耀X双屏Pro 13代酷睿i9 RTX4060显卡28K 145英寸双触控屏高性能设计笔记本电脑,13999.0,10000-20000元,华硕,其他类型,浙江,宁波,76.0,ASUS华硕旗舰店
新店开业钜惠ROG幻14 Air AMD R98945HS14英寸星云屏高刷设计RTX4060学习轻薄高性能电竞游戏笔记本电脑,12969.0,10000-20000元,玩家国度,轻薄本,江苏,南京,6.0,ROG玩家国度爱速斯专卖店
Lenovo联想 Y430P ATIFI独显轻薄便携学生办公游戏笔记本电脑,560.0,3000元以下,联想,轻薄本,北京,未知,13.0,恒丰电器店二手笔记本电脑
新款Apple苹果笔记本电脑MacBookPro办公设计Air超薄i7学生游戏M1,1493.42,3000元以下,苹果,游戏本,广东,深圳,1000.0,15年老店品优数码商城 苹 果笔记本电脑
2024新款英特尔酷睿N95笔记本电脑轻薄本便携式电脑全面屏办公商务游戏笔记本电脑14英寸学生家用电脑,969.0,3000元以下,其他品牌,轻薄本,浙江,杭州,40.0,天天特卖工厂店
Alienware外星人X16 M16 M18高端游戏笔记本电脑国行优品官翻,12499.0,10000-20000元,外星人,游戏本,江苏,南京,5.0,戴尔官翻瑞铭扬折扣店
reaimx新款笔记本电脑英特尔n95轻薄便携大学生超薄商务办公工作设计绘图高端电竞游戏官方正品独显手提系统,1260.06,3000元以下,其他品牌,轻薄本,浙江,杭州,90.0,天天特卖工厂店
DELL戴尔笔记本电脑2023年新款大学生专业制图办公吃鸡游戏轻薄本,599.0,3000元以下,戴尔,轻薄本,广东,广州,43.0,奋明电脑商城
2024新品首发联想ThinkPad T14p超轻薄酷睿表压Ultra商务办公高性能独显设计娱乐笔记本电脑旗舰正品,6699.0,5000-7000元,联想,轻薄本,江苏,无锡,11.0,thinkpad中硕专卖店
小米RedmiBookpro145锐龙版2023学生游戏办公轻薄红米笔记本电脑,2689.0,3000元以下,小米,轻薄本,北京,未知,200.0,阳光数码科技品牌店
ThinkPad X1 Yoga 2019 平板手提YOGA390商务笔记本电脑2018联想,1720.0,3000元以下,联想,其他类型,广东,广州,400.0,木森科技港二手笔记本电脑
Lenovo联想小新 Pro16锐龙版小新16酷睿轻薄学生办公笔记本电脑,3078.0,3000-5000元,联想,轻薄本,上海,未知,100.0,鑫鑫正品数码商行
HP惠普 HP EliteBook840 G5 G6 G7 850 笔记本电脑 IPS I7 手触,1388.0,3000元以下,惠普,其他类型,广东,广州,19.0,永创科技cqy
二手笔记本电脑 ThinkPad p15 图形工作站 办公156寸游戏高配P17,1996.82,3000元以下,联想,游戏本,广东,广州,200.0,猛猪祥云二手笔记本电脑
HP惠普暗影精灵9678pro 光影学生办公设计电竞游戏本笔记本电脑,2150.0,3000元以下,惠普,游戏本,北京,未知,100.0,赤心优品数码商城
联想拯救者y7000 r9000p r7000游戏本电竞本二手笔记本电脑2021新,1670.62,3000元以下,联想,游戏本,广东,广州,500.0,猛猪祥云二手笔记本电脑
ThinkPad  X380 X390 yoga联想笔记本电脑X13平板翻转手触屏370,1208.0,3000元以下,联想,其他类型,广东,广州,100.0,广艺数码
官方正品全新新款笔记本电脑156英寸英特尔n95轻薄学生商务办公设计绘图高端电竞游戏官方正品手提炒股,1316.0,3000元以下,其他品牌,轻薄本,浙江,杭州,200.0,天天特卖工厂店
二手笔记本电脑17寸Dell戴尔Precision7730独显3D图形工作站7720,1949.8,3000元以下,戴尔,其他类型,广东,广州,300.0,广州珍品电脑商城
Dell戴尔 i7 i7酷睿四核强劲游戏本156寸高清E5520办公数字键盘,393.87,3000元以下,戴尔,游戏本,广东,广州,12.0,卓圣数码科技二手笔记本电脑
Lenovo联想小新14酷睿版小新16锐龙大屏学生办公设计笔记本电脑,2498.0,3000元以下,联想,其他类型,上海,未知,100.0,鑫鑫正品数码商行
Lenovo联想拯救者Y9000KY7000P游戏本笔记本Y9000P电脑锐龙2022,1998.0,3000元以下,联想,游戏本,湖南,长沙,52.0,phobe科技直销店
Huawei华为笔记本电脑i7商务办公轻薄本学生吃鸡游戏超薄本2023款,898.0,3000元以下,华为,轻薄本,广东,广州,9.0,黄天数码科技
联想ThinkPad笔记本电脑X220 X230 X240 X250 X260 X270 X280办公,350.0,3000元以下,联想,其他类型,北京,未知,20.0,聚丰汇电器店二手笔记本电脑
价保618Lenovo联想 拯救者 Y7000P 游戏显卡RTX4070 24款Y9000P,7099.0,7000-9000元,联想,游戏本,浙江,杭州,100.0,珊姐评测
二手笔记本电脑九成新 联想ThinkPadT14 轻薄办公14寸锐龙商务,2016.62,3000元以下,联想,轻薄本,广东,广州,100.0,猛猪祥云二手笔记本电脑
156全新超薄笔记本电脑商务办公游戏本轻薄便携本学生手提电脑,539.0,3000元以下,其他品牌,轻薄本,广东,深圳,21.0,长宏数码商店数码企业店
笔记本电脑 IBM 联想IThinkPad  X220  X230  X240  12寸 办公本,388.0,3000元以下,联想,其他类型,广东,广州,76.0,恒博科技2006
Dell戴尔E7390 E7389 E5289笔记本电脑平板PC二合一触摸商务本,1050.0,3000元以下,戴尔,二合一笔记本,广东,广州,57.0,信沃数码二手笔记本
24期免息联想小新14小新15小新16笔记本电脑轻薄本13代酷睿标压i5 学生直播学习游戏办公官方旗舰405,4299.0,3000-5000元,联想,轻薄本,江苏,南京,44.0,苏宁易购官方旗舰店
笔记本电脑办公学习直播网课游戏上网轻薄便携手提电脑,299.0,3000元以下,其他品牌,轻薄本,山东,临沂,20.0,韶华科技2手笔记本
8G运行内存 500G硬盘 笔记本电脑 上网 游戏 看电视 办公学生本,299.0,3000元以下,其他品牌,游戏本,山东,临沂,100.0,韶华科技2手笔记本
二手14寸联想笔记本电脑T450S ThinkPad i7四核独显 游戏学生轻簿,584.8,3000元以下,联想,游戏本,广东,广州,12.0,广州珍品电脑商城
ThinkPad X60 X61联想笔记本电脑 顶配T9550轻薄XP办公炒股学习,320.0,3000元以下,联想,轻薄本,广东,广州,54.0,德安科技数码
HP惠普 EliteBook 840 G4850G5830X360 1040G6笔记本电脑二手,1700.0,3000元以下,惠普,其他类型,广东,广州,300.0,乐心企业 二手笔记本
2024新品新战纪V1611代酷睿i7英特尔156英寸25K高清165Hz高刷屏轻薄便携学生网课办公用游戏笔记本电脑,2278.1,3000元以下,其他品牌,轻薄本,浙江,杭州,8.0,天天特卖工厂店
ASUS华硕笔记本电脑正品华硕 i5 i7轻薄 16G 1TB独显上课办公游戏,678.0,3000元以下,华硕,轻薄本,广东,广州,9.0,翼峰笔记本电脑批发
156寸笔记本电脑 办公制图 学生学习 看电影听歌 娱乐畅玩游戏本,293.87,3000元以下,其他品牌,游戏本,山东,临沂,100.0,四季达康科技
新品首发联想ThinkPad X1 Carbon 2024新款英特尔酷睿Ultra7 14英寸轻薄商务办公笔记本电脑苏宁易购865,11399.0,10000-20000元,联想,轻薄本,福建,厦门,7.0,苏宁易购官方旗舰店
2024酷睿i9独显6G笔记本电脑13代英特尔i7高配置电竞游戏本大学生商务办公超薄手提2024新品官方旗舰正品,1555.02,3000元以下,其他品牌,游戏本,广东,深圳,2000.0,HUAV裕腾专卖店
2024新品英特尔酷睿i9笔记本电脑轻薄便携办公商务超薄大学生网课游戏本高配手提电脑女生款官方正品独显,932.12,3000元以下,其他品牌,轻薄本,广东,深圳,1000.0,摆渡者风控专卖店
Lenovo联想 Y9000X 英特尔酷睿 2024款AI元启轻薄游戏笔记本电脑,9099.0,9000-10000元,联想,轻薄本,广东,广州,20.0,联想拯救者实体店
2024新品139寸3k英特尔触摸屏笔记本电脑平板pc二合一金属版工作站商务办公轻薄便携学生网课学习触屏系统,1297.7,3000元以下,其他品牌,轻薄本,浙江,杭州,12.0,国货甄选旗舰店
24期免息机械师曙光16Pro RTX4060满血 i713650HX学生笔记本电脑16英寸25K 240HZ2804,7099.0,7000-9000元,机械革命,其他类型,福建,厦门,20.0,苏宁易购官方旗舰店
Dell戴尔 笔记本电脑 G3超薄大型游戏本学生办公i7四核手提电脑,944.87,3000元以下,戴尔,游戏本,广东,广州,100.0,速购数码科技企业店
联想Thinkpad笔记本电脑T420 T430 T440 T440S T440P办公游戏本,450.0,3000元以下,联想,游戏本,北京,未知,3.0,宁丰电器店二手笔记本电脑
2024新款联想ThinkBook16P 14代英特尔酷睿i7i9 16英寸RTX4060独显8G设计游戏本笔记本电脑轻薄官方旗舰,9999.0,9000-10000元,联想,轻薄本,福建,厦门,9.0,thinkpad新启联专卖店
ThinkPad T430酷睿i7标压14寸商务办公工程师系列联想笔记本电脑,583.0,3000元以下,联想,其他类型,北京,未知,7.0,中鼎数码二手笔记本电脑
联想ThinkPad T14 T490S笔记本电脑i7酷睿L14 T490 T480S商务本i5,1441.67,3000元以下,联想,其他类型,广东,广州,13.0,梓达通数码
机械革命2024耀世16super14代i9独显40804090水冷游戏笔记本电脑,20698.1,20000元以上,机械革命,游戏本,湖北,武汉,35.0,武汉港边商贸游戏本
当天发货华为matebook1414s 2023年新品13代酷睿i5i7笔记本电脑触摸屏手提电脑轻薄本官方旗舰店官网,3799.0,3000-5000元,华为,轻薄本,北京,未知,94.0,华为盛世通乾专卖店
联想ThinkPad T460 i56200u笔记本电脑办公视频剪辑编程网课ps,798.0,3000元以下,联想,其他类型,上海,未知,100.0,知金电脑
新品Lenovo联想 小新 Air 14 Air15学生轻薄办公全能24款笔记本,1998.0,3000元以下,联想,轻薄本,上海,未知,51.0,正品游戏本特卖店
ThinkBook 16P 2024 14代i9 RTX4060 游戏设计画图笔记本电脑联想,9688.0,9000-10000元,联想,游戏本,上海,未知,8.0,上海thinkpad直销实体店
Asus华硕a豆14 2024轻薄本酷睿i51335U商务办公学生笔记本电脑,4099.0,3000-5000元,华硕,轻薄本,北京,未知,13.0,笔记本官企业自销
二手笔记本电脑HP惠普 840 G3 W8G54PP i7 轻薄便携独显手提14寸,697.0,3000元以下,惠普,轻薄本,广东,广州,48.0,广州珍品电脑商城
Lenovo联想 小新 Pro14商务设计手提轻薄本办公笔记本电脑大学生,3032.87,3000-5000元,联想,轻薄本,广东,深圳,68.0,联想笔记本销售部
Apple苹果 Mac Book Pro  2023款  14英寸 M2 系列芯片 笔记本电脑官方正品官方女生学习绘图设计 3526,14599.0,10000-20000元,苹果,其他类型,北京,未知,1.0,苏宁易购官方旗舰店
24期免息微软Surface Laptop Studio 2 i7 144英寸笔记本电脑高端商务设计师触屏电脑高性能,17269.1,10000-20000元,微软,其他类型,上海,未知,3.0,微软乐映专卖店
14代新品首发微星MSI 绝影1416 Studio笔记本英特尔酷睿13代i913900HRTX4060轻薄游戏本电脑,10196.05,10000-20000元,其他品牌,轻薄本,上海,未知,31.0,微星懿达专卖店
顺丰现货速发Apple苹果 Mac Book Air 15英寸 M3芯片 笔记本电脑 专业设计剪辑视频 2024新款3526,11999.0,10000-20000元,苹果,其他类型,北京,未知,3.0,苏宁易购官方旗舰店
标压新品联想ThinkBook1416 13代标压i5i7R7 全能本商务办公1416英寸超轻薄学习游戏本笔记本电脑,4299.0,3000-5000元,联想,轻薄本,江苏,无锡,51.0,thinkpad中硕专卖店
华硕ASUS灵耀X双屏Pro 酷睿i7i5 14英寸双屏创意轻薄笔记本,8798.0,7000-9000元,华硕,轻薄本,湖北,武汉,3.0,华中华硕电脑商城
ALIENWARE外星人笔记本游戏本电脑m15 r7 x14 x15 x17r1 r2电竞本,16999.0,10000-20000元,外星人,游戏本,上海,未知,48.0,讯飞数码外设
ThinkPadL480X230x250t420笔记本电脑270L580商务办公联想460X280,490.0,3000元以下,联想,其他类型,广东,广州,800.0,铭兴数码二手笔记本电脑
Lenovo联想 拯救者 Y9000X冰魄白2024游戏电竞笔记本电脑16英寸,11999.0,10000-20000元,联想,游戏本,上海,未知,18.0,联想电脑正品自营店
华硕ASUS灵耀X双屏酷睿i7i5 14英寸双屏创意设计轻薄笔记本电脑十一代酷睿大屏官方正品,4993.87,3000-5000元,华硕,轻薄本,浙江,杭州,300.0,华硕星爱硕专卖店
Lenovo联想 小新 air14 新品手提轻薄本女士笔记本电脑学生粉色,2009.0,3000元以下,联想,轻薄本,广东,广州,51.0,电脑数码城
Microsoft微软Surface Laptop 5 i5 i7 16G 512G 笔记本电脑商务办公轻薄13515英寸Laptop5,5888.0,5000-7000元,微软,轻薄本,上海,未知,37.0,微软乐映专卖店
6期免息联想ThinkBook141516 标压酷睿Ultra57 2024新款游戏笔记本电脑轻薄便携学生ThinkPad官方旗舰,3699.0,3000-5000元,联想,轻薄本,福建,厦门,100.0,thinkpad恒瀚专卖店
联想拯救者Y9000P R9000P 2024 Y7000P 4060学生游戏笔记本电脑,6498.0,5000-7000元,联想,游戏本,北京,未知,81.0,薇薇娜数码商城
Dell戴尔G15 5530酷睿i5独显3050游戏本CAD制图剪辑游戏电竞学生设计ug编程156英寸大屏官方正品笔记本电脑,6199.0,5000-7000元,戴尔,游戏本,江苏,南京,12.0,戴尔新圆梦专卖店
热销推荐lenovo联想笔记本电脑扬天V14V15 英特尔Intel 8G 256G 轻薄商务办公学生本网课官方旗舰店,2199.0,3000元以下,联想,轻薄本,北京,未知,100.0,Lenovo联想商用旗舰店
华为笔记本电脑MateBook14 D16SE轻薄本办公学习ps电竞游戏超极本,1139.0,3000元以下,华为,轻薄本,广东,深圳,9.0,远航数码商城
酷睿i9i78G独立显卡RTX3070高端新品16英寸性能高刷游戏本金属笔记本电脑轻薄商务办公学生电竞直播本,3198.0,3000-5000元,其他品牌,轻薄本,广东,深圳,6.0,iru旗舰店
顺丰速发Apple苹果 MacBook Pro 14英寸 M3 Max 芯片 2023款 笔记本电脑设计绘图办公官方正品3526,25699.0,20000元以上,苹果,其他类型,北京,未知,4.0,苏宁易购官方旗舰店
Lenovo联想笔记本电脑轻薄办公制图设计i7四核学生游戏手提电脑,1262.87,3000元以下,联想,轻薄本,广东,广州,50.0,联硕笔记本特卖店
msi微星官方旗舰店正品绝影1416游戏笔记本电脑1416英寸240HZ25K屏40604070独显i9处理器,10299.9,10000-20000元,其他品牌,游戏本,浙江,杭州,4.0,微星旗舰店
电脑Apple苹果 MacBook Pro笔记本电脑M1芯片Air超薄商务,5999.0,5000-7000元,苹果,其他类型,天津,未知,22.0,东洋倒爷家 专注苹果全球代购
Xiaomi小米 RedmiBook 14 Pro学生游戏本新款办公红米笔记本电脑,1843.87,3000元以下,小米,游戏本,江西,南昌,700.0,笔记本数码商行
ROG幻16 第13代酷睿i9 RTX4070显卡25K屏240Hz 16英寸星云屏设计师轻薄电竞游戏笔记本电脑玩家国度,12469.0,10000-20000元,玩家国度,轻薄本,浙江,宁波,67.0,ROG玩家国度网硕专卖店
ThinkPad联想X1carbon超薄笔记本电脑X1yoga2020 2019商务办公本,1769.0,3000元以下,联想,其他类型,广东,广州,300.0,奕新优品二手笔记本电脑
ThinkPad 联想 L390L460L470L540L570L580笔记本电脑轻薄办公商务,829.0,3000元以下,联想,轻薄本,广东,广州,100.0,冠奕二手数码科技
二手笔记本电脑Dell戴尔M6800 独显7720 17寸7710图形工作站7520,1115.92,3000元以下,戴尔,其他类型,广东,广州,100.0,广州珍品电脑商城
Lenovo联想小新16 2024款锐龙AI高能本办公学生笔记本电脑轻薄本,4299.0,3000-5000元,联想,轻薄本,河南,许昌,5.0,品牌笔记本电脑自营店
宏碁acer非凡Go笔记本电脑14英寸轻薄本办公笔记本电脑,2699.0,3000元以下,宏碁,轻薄本,上海,未知,4.0,天猫超市
特价笔记本电脑办公学习直播网课小游戏上网轻薄便携手提商务本,299.0,3000元以下,其他品牌,轻薄本,山东,临沂,1.0,华光科技2手电脑
24期分期免息ASUS华硕VivoBook15 酷睿I5商务办公游戏本学生笔记本电脑苏宁易购官方旗舰店1634,2999.0,3000元以下,华硕,游戏本,江苏,南京,400.0,苏宁易购官方旗舰店
英特尔新款超薄笔记本电脑办公游戏娱乐工作设计绘画多功能电脑156英寸高清大屏学生轻薄本便携,1106.0,3000元以下,其他品牌,轻薄本,浙江,杭州,22.0,国货甄选旗舰店
14寸笔记本电脑游戏本商务办公手提电脑轻薄便携学生女15寸,544.87,3000元以下,其他品牌,轻薄本,广东,广州,16.0,长宏数码商店
联想小新Pro16Air14笔记本电脑新款YOGA14s便携商务轻薄办公学生,2599.0,3000元以下,联想,轻薄本,重庆,未知,100.0,墨蓝优品数码商城
Asus华硕天选天选432酷睿i9新4060独显学生电竞游戏笔记本电脑,3078.0,3000-5000元,华硕,游戏本,广东,深圳,2.0,品牌游戏本直销店
星14s青春版英特尔酷睿14寸i5办公家用轻薄本学生设计笔记本电脑,1553.87,3000元以下,其他品牌,轻薄本,北京,未知,10.0,赤心优品数码商城
Apple苹果133英寸MacBook Air笔记本电脑M1芯片 办公便携长续航,9999.0,9000-10000元,苹果,其他类型,上海,未知,300.0,天猫超市
Huawei华为i5固态独显i7 16G四核薄游戏本适合剪辑办公笔记本电脑,599.0,3000元以下,华为,游戏本,广东,佛山,15.0,奋明电脑商城
MFQBW 156全新正品英特尔粉色轻便超薄手提电脑轻薄便携女生商务办公学习游戏学生大学生笔记本电脑设计追剧,1093.77,3000元以下,其他品牌,轻薄本,广东,深圳,100.0,mfqbw旗舰店
